Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2018,Jamil Wilson,SF,27,LAC,3,21,27.6,0.875,0.875,0,10.4,10.8,10.6,8.7,0,0,11.1,18.7,0.1,0,0.1,0.258,10.6,-5.6,5.1,0
2018,Justise Winslow,SF,21,MIA,22,512,10.6,0.472,0.203,0.168,4.8,22.5,13.7,11.7,1.6,1.1,13,15.4,-0.1,0.7,0.6,0.059,-3.7,2.2,-1.5,0.1
2018,Jeff Withey,C,27,DAL,9,36,7.8,0.437,0.643,0.143,2.9,25.4,13.7,0,0,7.8,11.8,21,-0.1,0.1,0,-0.047,-9,-2.3,-11.2,-0.1
2018,Nate Wolters,PG,26,UTA,4,11,-5,0,0,0,10.1,10.8,10.4,11.6,0,0,0,12.3,0,0,0,-0.185,-10.7,-1.2,-11.8,0
2018,Brandan Wright,PF,30,MEM,16,229,20,0.581,0,0.365,10.1,17.9,14,3.7,1.8,7.2,3.9,15.3,0.5,0.4,0.9,0.184,-1.2,2.7,1.5,0.2
2018,Delon Wright,PG,25,TOR,14,292,15,0.67,0.431,0.492,2.5,10.7,6.7,17,2.2,1.4,24,15.7,0.5,0.3,0.8,0.135,1.3,0.9,2.1,0.3
2018,Guerschon Yabusele,PF,22,BOS,7,32,14.5,0.543,0.583,0.167,21.1,16.8,18.9,5,0,2.6,18.9,22.1,0,0,0.1,0.12,-0.2,-1.9,-2,0
2018,Joe Young,PG,25,IND,12,67,11.1,0.465,0.333,0.242,3.4,11.5,7.5,15.9,0.7,0,9.9,26.4,0,0,0,-0.011,-2.6,-4.3,-6.9,-0.1
2018,Nick Young,SG,32,GSW,22,282,14,0.602,0.743,0.15,1.7,9,5.7,6.2,1.8,0.6,9.1,20.2,0.3,0.3,0.6,0.104,1.9,-3.4,-1.5,0
2018,Thaddeus Young,PF,29,IND,23,763,14.7,0.531,0.26,0.061,6.2,13.7,10,8.9,2.5,1,9.8,18,0.7,0.7,1.4,0.086,0.6,0.7,1.3,0.6
2018,Cody Zeller,C,25,CHO,17,344,15.9,0.575,0.012,0.635,12.8,16.4,14.6,6.2,1.1,4.4,14.9,16.1,0.6,0.4,1,0.143,-1,2.4,1.4,0.3
2018,Tyler Zeller,C,28,BRK,14,257,16.8,0.637,0.091,0.39,8.3,13.3,10.7,6.7,1.3,2.4,14.3,17,0.5,0.2,0.7,0.121,-0.2,0.2,0,0.1
2018,Paul Zipser,SF,23,CHI,18,301,4.1,0.377,0.404,0.04,1.7,20.6,10.6,10.3,1.3,0.9,13.7,17.1,-0.7,0.2,-0.5,-0.083,-7.3,-0.5,-7.8,-0.4
2018,Ante Zizic,C,21,CLE,8,28,10.9,0.489,0,0.714,12.6,15.6,14.2,0,0,9.3,17.9,17.7,0,0,0,0.028,-7.6,-1.7,-9.3,-0.1
2018,Ivica Zubac,C,20,LAL,5,12,0.9,0.4,0,0,17.6,17.3,17.5,0,0,0,28.6,24.3,-0.1,0,0,-0.172,-13,-7.3,-20.3,-0.1
